0,1,2,3,4,5,6,7,8,9,10,11,label
0.260491731762886,0,0,0,0,0.4,0,1,2,0,0.6,0.25,0
0.36434909204642,0,0,0,0,0.416666666666667,0,1,1,0,0.5,0,0
0.166008754210039,0,0,0,0,0.0909090909090909,0,1,1,0,0.75,0,0
0.598982110619545,1,3,3,0,0,0,3,2,0,0,0,0
0.363518625497818,0,0,0,0,0.333333333333333,0,1,1,0,0,0,0
0.207130403568347,0,0,1,0,0.166666666666667,1,2,1,0,0,0,0
0.259782017519077,0,0,1,0,0,0,2,1,0,0.5,0,0
0.358383551239967,0,0,0,0,0.5,0,1,1,0,0,0,0
0.450022457374467,0.555555555555556,0,1,0,0.222222222222222,0,11,2,0,0.75,0,0
0.262857004006704,0,0,0,0,0,0,1,1,0,0.833333333333333,0,0
0.262857004006704,0,0,0,0,0,0,1,1,0,1,0,0
0.392819933593273,0.222222222222222,0,0,0,0.444444444444444,0,1,2,0,1,0,0
0.10882181674242,0,0,0,0,0.4,0,1,1,0,0,0,0
0.390091233783298,0,0,0,0,0.111111111111111,0,1,2,1,0.75,0,0
0.30950183740684,0,0,0,0,0.285714285714286,0,7,12,0,0.6,0,0
0.172534530982375,0,0,0,0,0.25,0,1,1,0,1,0,0
0.11889735981822,0,0,0,0,0.333333333333333,0,1,1,0,0.5,0,0
0.318603157997131,0,0,0,0,0,0,1,1,0,0,0,0
0.318603157997131,0,0,0,0,0,0,1,1,0,0,0,0
0.256453939928458,0,0,0,0,0.0769230769230769,0,3,1,0,0,0,0
0.251361554861069,0,0,0,0,0.4,0,1,1,0,0,0,0
0.453771215677261,0.4,0,0,0,0.4,0,1,2,0,0,0,0
0.307184639076392,0,0,0,0,0.25,0,2,3,0,1,0,0
0.404989080769675,0.0714285714285714,0,0,1,0.357142857142857,0,3,3,0,0.8,0,0
0.406169429421425,0.166666666666667,1,1,0,0,0,1,1,0,0,0,0
0.346933881441752,0,0,0,0,0,0,1,1,0,1,0,0
0.26456418633461,0,0,0,0,0,0,1,1,0,0,0,0
0.309153149525324,0.333333333333333,0,0,0,0.666666666666667,0,1,1,0,0,0,0
0.453504162175315,0.285714285714286,0,0,0,0.428571428571429,0,4,2,0,1,0,0
0.381598517298698,0.230769230769231,0,0,0,0.0769230769230769,0,5,2,0,0.166666666666667,0,0
0.558597922325134,1,0,0,0,0.5,0,2,1,1,1,0,0
0.270950331663092,0.0416666666666667,0,0,0,0.375,0,12,8,0,0.625,0,0
0.270950331663092,0.0416666666666667,0,0,0,0.375,0,12,8,0,0.625,0,0
