0,1,2,3,4,5,6,7,8,9,10,11,label
0.739407002925873,1,1,1,1,0,1,1,1,1,0,0,1
0.685600173473358,0.8,3,4,3,0.2,6,5,3,1,0.5,0,1
0.685600173473358,0.8,3,4,3,0.2,6,5,3,1,0.5,0,1
0.944250682989756,1,3,3,3,0,3,4,3,1,1,1,1
0.404750500406538,0.142857142857143,1,1,1,0,1,1,1,1,0.25,0.333333333333333,1
0.92797264456749,1,2,2,2,0,2,2,2,1,1,1,1
0.551027461886406,0.333333333333333,3,3,2,0.5,6,6,3,1,0,0,1
0.488574276367823,0.333333333333333,4,3,1,0,10,5,1,1,0.5,0.166666666666667,1
0.941664308309555,1,2,2,2,0,2,2,2,1,0,0,1
0.941664308309555,1,2,2,2,0,2,2,2,1,0,0,1
0.730698734521866,1,2,2,2,1,2,2,2,1,0,0,1
0.825983554124832,1,3,3,3,0,6,5,3,1,0.333333333333333,1,1
0.648709774017334,1,2,1,1,1,1,1,2,1,1,1,1
0.66098740696907,0.5,1,1,1,0,1,1,1,1,1,1,1
0.837543338537216,1,4,4,4,0,8,7,4,1,0,1,1
0.736479153009978,0.727272727272727,15,15,14,0.0454545454545454,32,42,14,1,0.25,0.5625,1
0.931416302919388,1,2,2,2,0,4,3,2,1,0,1,1
0.795754283666611,1,2,2,2,1,2,2,2,1,0,1,1
0.618464132150014,0.666666666666667,1,1,1,0,1,1,1,1,1,1,1
0.511457681655884,0.5,0,0,0,0,0,1,1,1,1,0,1
0.634163761138916,0.4,6,2,2,0,18,6,2,1,0,1,1
0.470683509111404,0.4,2,3,1,0,4,3,2,1,0.333333333333333,1,1
0.268022447824478,0,0,0,0,0,0,1,1,1,0,1,1
0.434344423167846,0.411764705882353,2,1,0,0.352941176470588,2,11,5,0,0.714285714285714,0.166666666666667,1
0.690550585587819,1,3,3,3,0,3,5,3,1,1,1,1
0.505073347687721,0.6,1,1,1,0,1,1,2,1,0.333333333333333,0.333333333333333,1
0.869648516178131,1,2,2,2,0,2,2,1,1,0,0,1
0.559108301997185,0.5,3,2,1,0,6,5,1,1,0,1,1
0.599803643922011,0.5,3,4,3,0,13,12,3,1,0.25,0.75,1
0.673610597848892,0.666666666666667,2,3,3,0,3,3,3,1,0.5,0.5,1
0.885662466287613,1,2,2,2,1,2,2,2,1,1,1,1
0.398427109544476,0.166666666666667,1,2,1,0,2,1,2,1,0,0,1
0.528335805450167,0.428571428571429,1,1,5,0.714285714285714,1,1,7,1,0.25,0.333333333333333,1
0.346053544964109,0.142857142857143,1,2,1,0,2,3,2,1,0,0.333333333333333,1
0.725050839078095,0.777777777777778,16,8,9,0,36,18,9,1,0.428571428571429,0.428571428571429,1
0.560759750194848,0.5625,21,9,9,0,42,21,14,1,0.333333333333333,0.444444444444444,1
0.587029854456584,0.666666666666667,1,1,1,0,2,1,1,1,0,0.5,1
0.487870297498173,0.333333333333333,2,3,9,0.444444444444444,3,10,10,1,0.4,0.4,1
0.56546408363751,0.428571428571429,2,2,2,0.571428571428571,2,7,3,1,1,1,1
0.685555398464203,1,3,3,1,0,3,3,1,1,0,1,1
0.699968278408051,1,4,4,4,0,4,6,6,1,0,0.5,1
0.451944593340158,0.125,1,1,1,0,5,6,2,1,0.333333333333333,0.333333333333333,1
0.434269318977992,0.333333333333333,1,1,1,0.333333333333333,1,1,1,1,0,0,1
0.466916269726223,0.222222222222222,2,3,1,0,4,7,2,1,0.166666666666667,0.4,1
0.364284674326579,0.333333333333333,0,0,0,0,0,2,1,0,0,0,1
0.56416230648756,0.5,2,2,1,0.25,2,2,1,1,0.5,0,1
0.417727707574765,0.0416666666666666,1,1,6,0.583333333333333,1,10,23,1,0.8,0.5,1
0.617983971323286,0.714285714285714,1,1,1,0,1,1,1,1,0,0.333333333333333,1
0.482387222349644,0.5,2,2,0,0.5,3,3,1,1,0.666666666666667,0.333333333333333,1
0.533439978957176,0.384615384615385,5,6,8,0.615384615384615,6,6,8,1,0.571428571428571,0.833333333333333,1
0.528915457427502,0.5,1,1,2,0,1,1,2,1,1,0,1
0.618941113352776,0.5,1,1,1,0,2,1,1,1,1,0,1
0.561207075913747,0.833333333333333,0,1,0,0,1,3,3,0,0,0.5,1
0.549773415832808,0.636363636363636,6,6,15,0,14,17,28,1,0.428571428571429,0.3,1
0.892738461494446,1,2,2,2,0,4,3,2,1,0,0,1
0.197352172620595,0.05,1,1,2,0.25,1,5,5,1,0.111111111111111,0.142857142857143,1
0.274197125186523,0,0,0,0,0.333333333333333,0,1,2,0,0.5,0.5,1
0.943616390228272,1,3,3,3,0,3,3,3,1,0,0,1
0.943616390228272,1,3,3,3,0,3,3,3,1,0,0,1
0.664936289191246,0.5,1,2,4,0,5,5,5,1,1,1,1
0.55188309152921,0.333333333333333,1,1,0,0,1,1,1,1,1,1,1
0.372516930103302,0.1,1,1,1,0.1,1,1,8,1,0.166666666666667,0.166666666666667,1
0.512847428520521,0.5,1,4,0,0,4,8,1,1,0.666666666666667,0,1
0.707874089479446,0.875,6,6,7,0.875,12,15,14,1,0.6,0.5,1
0.707874089479446,0.875,6,6,7,0.875,12,15,14,1,0.6,0.5,1
0.830985233187676,1,10,10,4,0,10,10,9,1,0.4,0.5,1
0.708096954557631,0.666666666666667,5,5,4,0,5,7,7,1,0,0.75,1
0.708096954557631,0.666666666666667,5,5,4,0,5,7,7,1,0,0.75,1
0.591373085975647,0.333333333333333,1,1,1,0,3,2,1,1,1,1,1
0.420587243884802,0.4,2,2,1,0,2,7,5,1,0,0.2,1
0.816575199365616,1,2,2,0,0,2,2,1,1,0,1,1
0.60657757371664,0.7,4,4,1,0,4,5,3,1,0.666666666666667,1,1
0.365919462272099,0.142857142857143,1,1,0,0.571428571428571,1,4,3,1,0.333333333333333,0.666666666666667,1
0.951138287782669,1,2,2,2,1,4,3,2,1,0,1,1
0.500450547252383,0.285714285714286,1,1,2,0.285714285714286,1,1,2,1,1,0,1
0.829415172338486,1,1,1,1,1,2,1,1,1,1,1,1
0.854149729013443,1,2,2,2,0,3,2,2,1,0,1,1
0.575697541236877,1,2,2,1,0,5,2,2,1,0,0.333333333333333,1
0.595122882298061,0.571428571428571,1,1,2,0.285714285714286,1,3,3,1,0.333333333333333,0.5,1
0.704688588778178,1,2,2,2,1,2,3,3,1,0,1,1
0.477548667788506,0.2,1,1,2,1,3,2,5,1,1,1,1
